1,280,28,5.4,7,3,15,8,14,15,20,6,36,15,8,13,25,14,30,6,49,13,220,14,2,8,40,6,900,13,6,10,40,15,49,12,1000,9,220,11,10,5,2.5,2
2,299,29.9,5.7,7.475,3.1,16.01785714,5,14.95,5,21.35714286,13,38.44285714,12,8.542857143,5,26.69642857,14,32.03571429,13,52.325,5,234.9285714,14,2.135714286,8,42.71428571,7,961.0714286,7,6.407142857,13,42.71428571,9,52.325,14,1067.857143,10,234.9285714,9,10.67857143,5,2.669642857,2
3,268,26.8,7.7,6.7,3.9,14.35714286,6,13.4,14,19.14285714,14,34.45714286,11,7.657142857,5,23.92857143,13,28.71428571,5,46.9,7,210.5714286,10,1.914285714,14,38.28571429,15,861.4285714,14,5.742857143,9,38.28571429,10,46.9,13,957.1428571,6,210.5714286,5,9.571428571,7,2.392857143,1
4,256,25.6,6.1,6.4,3.2,13.71428571,5,12.8,9,18.28571429,12,32.91428571,12,7.314285714,8,22.85714286,12,27.42857143,5,44.8,9,201.1428571,7,1.828571429,11,36.57142857,6,822.8571429,9,5.485714286,12,36.57142857,9,44.8,10,914.2857143,5,201.1428571,9,9.142857143,7,2.285714286,1
5,288,28.8,7.7,7.2,3,15.42857143,15,14.4,13,20.57142857,13,37.02857143,8,8.228571429,14,25.71428571,15,30.85714286,7,50.4,10,226.2857143,15,2.057142857,13,41.14285714,7,925.7142857,6,6.171428571,13,41.14285714,11,50.4,8,1028.571429,14,226.2857143,6,10.28571429,10,2.571428571,0
6,291,29.1,8.7,7.275,3.2,15.58928571,12,14.55,5,20.78571429,9,37.41428571,15,8.314285714,8,25.98214286,5,31.17857143,13,50.925,10,228.6428571,10,2.078571429,9,41.57142857,14,935.3571429,15,6.235714286,7,41.57142857,13,50.925,6,1039.285714,15,228.6428571,6,10.39285714,11,2.598214286,2
7,283,28.3,1.1,7.075,2.7,15.16071429,14,14.15,14,20.21428571,11,36.38571429,15,8.085714286,5,25.26785714,6,30.32142857,12,49.525,6,222.3571429,6,2.021428571,8,40.42857143,15,909.6428571,13,6.064285714,15,40.42857143,5,49.525,9,1010.714286,15,222.3571429,12,10.10714286,7,2.526785714,1
1,275,27.5,1.7,6.875,2.4,14.73214286,6,13.75,12,19.64285714,10,35.35714286,8,7.857142857,12,24.55357143,14,29.46428571,14,48.125,5,216.0714286,13,1.964285714,6,39.28571429,7,883.9285714,15,5.892857143,11,39.28571429,15,48.125,10,982.1428571,8,216.0714286,12,9.821428571,5,2.455357143,0
2,257,25.7,2.2,6.425,1.3,13.76785714,9,12.85,5,18.35714286,7,33.04285714,12,7.342857143,10,22.94642857,13,27.53571429,7,44.975,10,201.9285714,7,1.835714286,5,36.71428571,12,826.0714286,8,5.507142857,10,36.71428571,7,44.975,11,917.8571429,7,201.9285714,13,9.178571429,14,2.294642857,1
3,293,29.3,5.8,7.325,3.8,15.69642857,10,14.65,12,20.92857143,7,37.67142857,5,8.371428571,5,26.16071429,10,31.39285714,11,51.275,14,230.2142857,10,2.092857143,12,41.85714286,12,941.7857143,14,6.278571429,5,41.85714286,13,51.275,10,1046.428571,13,230.2142857,10,10.46428571,7,2.616071429,2
4,264,26.4,7.8,6.6,3.3,14.14285714,12,13.2,15,18.85714286,5,33.94285714,13,7.542857143,14,23.57142857,14,28.28571429,10,46.2,15,207.4285714,10,1.885714286,10,37.71428571,11,848.5714286,10,5.657142857,5,37.71428571,14,46.2,11,942.8571429,10,207.4285714,9,9.428571429,11,2.357142857,2
5,257,25.7,2.9,6.425,1.5,13.76785714,6,12.85,12,18.35714286,11,33.04285714,11,7.342857143,5,22.94642857,14,27.53571429,8,44.975,10,201.9285714,10,1.835714286,8,36.71428571,12,826.0714286,7,5.507142857,8,36.71428571,14,44.975,11,917.8571429,9,201.9285714,15,9.178571429,15,2.294642857,1
6,301,30.1,5.6,7.525,3.6,16.125,14,15.05,8,21.5,10,38.7,14,8.6,14,26.875,11,32.25,8,52.675,8,236.5,6,2.15,8,43,7,967.5,6,6.45,10,43,15,52.675,5,1075,5,236.5,10,10.75,11,2.6875,0
7,284,28.4,7,7.1,3.5,15.21428571,14,14.2,6,20.28571429,8,36.51428571,13,8.114285714,10,25.35714286,9,30.42857143,11,49.7,14,223.1428571,14,2.028571429,14,40.57142857,12,912.8571429,14,6.085714286,8,40.57142857,5,49.7,13,1014.285714,14,223.1428571,13,10.14285714,13,2.535714286,0
1,293,29.3,2.5,7.325,2.4,15.69642857,9,14.65,15,20.92857143,8,37.67142857,6,8.371428571,12,26.16071429,12,31.39285714,6,51.275,12,230.2142857,9,2.092857143,10,41.85714286,9,941.7857143,12,6.278571429,9,41.85714286,7,51.275,12,1046.428571,8,230.2142857,15,10.46428571,12,2.616071429,2
2,281,28.1,7.9,7.025,3.3,15.05357143,9,14.05,5,20.07142857,7,36.12857143,10,8.028571429,5,25.08928571,5,30.10714286,9,49.175,15,220.7857143,10,2.007142857,8,40.14285714,15,903.2142857,8,6.021428571,15,40.14285714,6,49.175,15,1003.571429,12,220.7857143,8,10.03571429,5,2.508928571,2
3,305,30.5,1.6,7.625,2.7,16.33928571,13,15.25,12,21.78571429,14,39.21428571,11,8.714285714,6,27.23214286,12,32.67857143,15,53.375,6,239.6428571,13,2.178571429,9,43.57142857,10,980.3571429,13,6.535714286,7,43.57142857,14,53.375,15,1089.285714,12,239.6428571,8,10.89285714,10,2.723214286,0
4,251,25.1,8.4,6.275,3.1,13.44642857,14,12.55,6,17.92857143,12,32.27142857,8,7.171428571,6,22.41071429,11,26.89285714,8,43.925,11,197.2142857,12,1.792857143,15,35.85714286,5,806.7857143,15,5.378571429,12,35.85714286,11,43.925,12,896.4285714,11,197.2142857,7,8.964285714,9,2.241071429,0
